"idno"	"chip_meth"	"pos_meth"	"site"	"bcell"	"tcell"	"nkcell"	"neutro"
4015800	7810920037	"R06"	"COL"	0.0783249672943585	0.255137638762209	0.214345469783198	0.198459474597988
4015819	6055574023	"R04"	"COL"	0.31133926209765	5.41829215431333e-05	0.115420029247685	0.230005401152957
4015860	6229025016	"R06"	"COL"	0.101524721815547	0.00308842652795838	0.0896928993121378	0.192668824581593
4015878	6229025162	"R01"	"COL"	0.118818902599032	0.00330515821413091	0.305800790770731	0.187689388019499
4015886	5806361049	"R04"	"COL"	0.237940488813553	0.0042260460577761	0.0810398925365382	0.217527725595078
4015916	6229076038	"R05"	"COL"	0.146911661138151	0.0105656697009102	0.215187131018794	0.215442364419517
4015940	5854945054	"R06"	"COL"	0.0888759807365516	0.000433463372345066	0.0642907436494611	0.211496318032626
4015975	7810920108	"R03"	"COL"	0.0729225576763087	0.14006285218899	0.0885554893570926	0.199805417501274
4015983	5806361040	"R02"	"COL"	0.127378892641673	0.000812743823146889	0.128416868388863	0.188014492639806
4016009	8221916052	"R06"	"COL"	0.0972494763247303	0.0220524490680537	0.0890429507663977	0.211158903054351
4016017	8221924139	"R03"	"COL"	0.0815667113314153	0.0235695708712613	0.0799436711260358	0.194865595091169
4016025	5854945041	"R04"	"COL"	0.0881393186619079	0.000270914607715667	0.222174077885501	0.239762583059004
